"Report date","Week #","Week ","HI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34566.0","33.0","34559.0","1275.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","1546.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","1703.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","1792.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","1675.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","1622.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","1468.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","2040.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","1950.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","1615.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","1470.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","1726.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","1215.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","1607.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","1355.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","1751.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","1868.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","1702.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","1775.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","1645.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","2472.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","2292.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","1922.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","1873.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","2032.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","1805.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","1769.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","1472.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","1894.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","1981.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","1855.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","1575.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","1598.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","2825.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","1718.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","2186.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","1777.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","1936.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","1770.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","1769.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","1729.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","1527.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","2121.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","2010.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","2092.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","1763.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","2318.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","2108.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","1713.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","1635.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","2137.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","1721.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","1333.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","1628.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","1730.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","1851.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","1761.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","1615.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","1611.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","2434.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","1771.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","1698.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","1562.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","1835.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","1613.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","1876.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","1452.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","1959.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","1842.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","1736.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","1922.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","1964.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","2491.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","2781.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","1951.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","2106.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","2415.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","1870.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","1821.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","1427.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","2092.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","2169.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","1843.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","1720.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","1621.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","1998.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","2303.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","1716.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","1588.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","1853.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","1873.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","1665.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","1769.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","1359.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","2062.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","2309.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","2166.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","1799.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","1790.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","2276.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","1786.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","1559.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","1760.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","1753.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","1451.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","1787.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","1520.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","1690.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","1805.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","1645.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","1439.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","1562.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","2052.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","1795.0","","","","","","","","","","","",""
