"Report date","Week #","Week ","AZ","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34867.0","23.0","34860.0","3265.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","3216.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","3127.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","4526.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","3855.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","3545.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","3100.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","3055.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","2672.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","2401.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","1761.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","2549.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","2297.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","2468.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","2465.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","2362.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","3131.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","2381.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","2550.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","2551.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","2759.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","2324.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","3257.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","2135.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","2562.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","3008.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","2391.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","2674.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","2201.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","2587.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","3886.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","2651.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","2991.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","2853.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","2937.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","2745.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","2414.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","2698.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","2788.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","2654.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","3009.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","2900.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","3861.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","4700.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","3521.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","2947.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","2809.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","2764.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","2616.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","2634.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","2730.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","3380.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","3161.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","3119.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","2989.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","3154.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","4265.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","3839.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","2581.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","2613.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","3272.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","2276.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","2288.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","2278.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","2038.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","2283.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","2232.0","","","","","","","","","","","",""
