"Report date","Week #","Week ","TN","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"35252.0","26.0","35245.0","7196.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","19637.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","19716.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","9903.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","6064.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","7060.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","5807.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","6868.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","6473.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","5031.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","5854.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","4779.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","6160.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","5316.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","6869.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","6134.0","","","","","","","","","","","",""
"35364.0","42.0","35357.0","5545.0","","","","","","","","","","","",""
"35371.0","43.0","35364.0","6078.0","","","","","","","","","","","",""
"35378.0","44.0","35371.0","7703.0","","","","","","","","","","","",""
