"Report date","Week #","Week ","MA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34517.0","26.0","34510.0","9860.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","10411.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","7124.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","6673.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","5522.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","5719.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","5710.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","5683.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","5416.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","5551.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","5345.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","5318.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","4867.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","5144.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","6777.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","5393.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","6133.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","6003.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","7468.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","6182.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","7532.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","7444.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","8564.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","9122.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","9509.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","11016.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","16298.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","14072.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","10597.0","","","","","","","","","","","",""
